ENG_STRAIN,ENG_STRESS
0.020,452.9268144975
0.030,473.1351223095
0.040,487.432104976
0.050,499.044456536
0.060,518.3935865376
0.070,537.4978622146
0.080,553.9339035346
0.090,566.0007365082
0.100,586.0261321032
0.110,600.9732023328
0.120,620.1098572862
0.130,635.5139718928
0.140,654.4981596528
0.150,672.0534984757
0.160,686.107089063
0.170,700.4706025792
0.180,717.9055012798
0.190,736.9646156125
0.200,756.41122032
0.210,774.4712422632
0.220,792.3240364565
0.230,813.7627086204
0.240,827.999861268
0.250,843.7596994555
0.260,864.571238715
0.270,889.03809098
0.280,902.220386022
0.290,917.6531844326
0.300,942.3572157936
0.310,952.2876096788
0.328,988.7736734262
0.337,1000.9697207195
0.346,1023.807847879
0.355,1035.5283984975
0.364,1053.5465843959
0.374,1066.734569201
0.383,1088.396652928
0.392,1100.9120499287
0.401,1120.0317429532
0.410,1128.592572822
0.420,1145.6198628489
0.432,1159.5467265488
0.440,1177.6788075812
0.450,1186.9529705649
0.460,1203.3635183577
0.470,1211.0438320245
0.480,1220.6563703136
0.490,1216.0298451028
0.500,1190.5194855205
